Date,Open,High,Low,Close,Adj Close,Volume
02-01-2020,158.7799988,160.7299957,158.3300018,160.6199951,156.1519165,22622100
03-01-2020,158.3200073,159.9499969,158.0599976,158.6199951,154.2075806,21116200
06-01-2020,157.0800018,159.1000061,156.5099945,159.0299988,154.6062012,20813700
07-01-2020,159.3200073,159.6699982,157.3200073,157.5800018,153.1965027,21634100
08-01-2020,158.9299927,160.8000031,157.9499969,160.0899963,155.6366882,27746500
09-01-2020,161.8399963,162.2200012,161.0299988,162.0899963,157.5810394,21385000
10-01-2020,162.8200073,163.2200012,161.1799927,161.3399963,156.8519135,20725900
13-01-2020,161.7599945,163.3099976,161.2599945,163.2799988,158.7379456,21626500
14-01-2020,163.3899994,163.6000061,161.7200012,162.1300049,157.6199493,23477400
15-01-2020,162.6199951,163.9400024,162.5700073,163.1799927,158.6407166,21417900
16-01-2020,164.3500061,166.2400055,164.0299988,166.1699982,161.5475464,23865400
17-01-2020,167.4199982,167.4700012,165.4299927,167.1000061,162.4516907,34371700
21-01-2020,166.6799927,168.1900024,166.4299927,166.5,161.8683777,29517200
22-01-2020,167.3999939,167.4900055,165.6799927,165.6999969,161.0906525,24138800
23-01-2020,166.1900024,166.8000031,165.2700043,166.7200012,162.0822906,19680800
24-01-2020,167.5099945,167.5299988,164.4499969,165.0399933,160.4489899,24918100
27-01-2020,161.1499939,163.3800049,160.1999969,162.2799988,157.7657623,32078100
28-01-2020,163.7799988,165.7599945,163.0700073,165.4600067,160.8573303,24899900
29-01-2020,167.8399963,168.75,165.6900024,168.0399933,163.3655396,34754500
30-01-2020,174.0500031,174.0500031,170.7899933,172.7799988,167.9736786,51597500
31-01-2020,172.2100067,172.3999939,169.5800018,170.2299957,165.4946594,36142700
03-02-2020,170.4299927,174.5,170.3999939,174.3800049,169.5291901,30107000
04-02-2020,177.1399994,180.6399994,176.3099976,180.1199951,175.1094971,36433300
05-02-2020,184.0299988,184.1999969,178.4100037,179.8999939,174.8956146,39186300
06-02-2020,180.9700012,183.8200073,180.0599976,183.6300049,178.5218658,27751400
07-02-2020,182.8500061,185.6300049,182.4799957,183.8899994,178.7746277,33529100
10-02-2020,183.5800018,188.8399963,183.25,188.6999969,183.4508209,35844300
11-02-2020,190.6499939,190.6999969,183.5,184.4400024,179.3093262,53159900
12-02-2020,185.5800018,185.8500061,181.8500061,184.7100067,179.5718231,47062900
13-02-2020,183.0800018,186.2299957,182.8699951,183.7100067,178.5996399,35295800
14-02-2020,183.25,185.4100037,182.6499939,185.3500061,180.1940308,23149500
18-02-2020,185.6100006,187.6999969,185.5,187.2299957,182.021698,27792200
19-02-2020,188.0599976,188.1799927,186.4700012,187.2799988,182.5676575,29997500
20-02-2020,186.9499969,187.25,181.1000061,184.4199982,179.7795868,36862400
21-02-2020,183.1699982,183.5,177.25,178.5899963,174.096283,48572600
24-02-2020,167.7700043,174.5500031,163.2299957,170.8899994,166.5900574,68311100
25-02-2020,174.1999969,174.8399963,167.6499939,168.0700073,163.8410034,68073300
26-02-2020,169.7100067,173.2599945,168.2100067,170.1699982,165.8881531,56206100
27-02-2020,163.3200073,167.0299988,157.9799957,158.1799927,154.1998596,93174900
28-02-2020,152.4100037,163.7100067,152,162.0099945,157.9334869,97012700
02-03-2020,165.3099976,172.9199982,162.3099976,172.7899933,168.442215,71030800
03-03-2020,173.8000031,175,162.2599945,164.5099945,160.370575,71677000
04-03-2020,168.4900055,170.6999969,165.6199951,170.5500031,166.2585907,49814400
05-03-2020,166.0500031,170.8699951,165.6900024,166.2700043,162.0862885,47817300
06-03-2020,162.6100006,163.1100006,156,161.5700073,157.5045624,72821100
09-03-2020,151,157.75,150,150.6199951,146.8300629,70419300
10-03-2020,158.1600037,161.0299988,152.5800018,160.9199982,156.8708954,65354400
11-03-2020,157.1300049,157.6999969,151.1499939,153.6300049,149.764328,56371600
12-03-2020,145.3000031,153.4700012,138.5800018,139.0599976,135.5609436,93226400
13-03-2020,147.5,161.9100037,140.7299957,158.8300018,154.8334961,92727400
16-03-2020,140,149.3500061,135,135.4199982,132.0125275,87905900
17-03-2020,140,147.5,135,146.5700073,142.8819885,81059800
18-03-2020,138,146,135.0200043,140.3999939,136.8672333,81593200
19-03-2020,142.7700043,150.1499939,139,142.7100067,139.1191101,85922700
20-03-2020,146,147.1000061,135.8600006,137.3500061,133.8940125,84866200
23-03-2020,137.0099945,140.5700073,132.5200043,135.9799957,132.5584259,78975200
24-03-2020,143.75,149.6000061,141.2700043,148.3399963,144.6074524,82516700
25-03-2020,148.9100037,154.3300018,144.4400024,146.9199982,143.223175,75638200
26-03-2020,148.3999939,156.6600037,148.3699951,156.1100006,152.1819458,64568100
27-03-2020,151.75,154.8899994,149.1999969,149.6999969,145.9332275,57042300
30-03-2020,152.4400024,160.6000061,150.0099945,160.2299957,156.1982574,63420300
31-03-2020,159.3999939,164.7799988,156.5599976,157.7100067,153.7416687,77927200
01-04-2020,153,157.75,150.8200073,152.1100006,148.2825775,57969900
02-04-2020,151.8600006,155.4799957,150.3600006,155.2599945,151.3533325,49630700
03-04-2020,155.1000061,157.3800049,152.1900024,153.8300018,149.9593201,41243300
06-04-2020,160.3200073,166.5,157.5800018,165.2700043,161.1114502,67111700
07-04-2020,169.5899963,170,163.2599945,163.4900055,159.3762512,62769000
08-04-2020,165.6699982,166.6699982,163.5,165.1300049,160.9749603,48318200
09-04-2020,166.3600006,167.3699951,163.3300018,165.1399994,160.9847107,51385100
13-04-2020,164.3500061,165.5700073,162.3000031,165.5099945,161.3453979,41905300
14-04-2020,169,173.75,168,173.6999969,169.3293457,52874300
15-04-2020,171.1999969,173.5700073,169.2400055,171.8800049,167.5551147,40940800
16-04-2020,174.3000031,177.2799988,172.8999939,177.0399933,172.5852814,50479600
17-04-2020,179.5,180,175.8699951,178.6000061,174.1060638,52765600
20-04-2020,176.6300049,178.75,174.9900055,175.0599976,170.6551208,36669600
21-04-2020,173.5,173.6699982,166.1100006,167.8200073,163.5972748,56203700
22-04-2020,171.3899994,174,170.8200073,173.5200043,169.1538696,34620200
23-04-2020,174.1100006,175.0599976,170.9100037,171.4199982,167.1066895,32790800
24-04-2020,172.0599976,174.5599976,170.7100067,174.5500031,170.1579437,34277600
27-04-2020,176.5899963,176.8999939,173.3000031,174.0500031,169.670517,33194400
28-04-2020,175.5899963,175.6699982,169.3899994,169.8099976,165.5372314,34392700
29-04-2020,173.2200012,177.6799927,171.8800049,177.4299927,172.9654541,51286600
30-04-2020,180,180.3999939,176.2299957,179.2100067,174.7006989,53875900
01-05-2020,175.8000031,178.6399994,174.0099945,174.5700073,170.1774445,39370500
04-05-2020,174.4900055,179,173.8000031,178.8399963,174.3399963,30372900
05-05-2020,180.6199951,183.6499939,179.8999939,180.7599945,176.2116852,36839200
06-05-2020,182.0800018,184.1999969,181.6300049,182.5399933,177.9468842,32139300
07-05-2020,184.1699982,184.5500031,182.5800018,183.6000061,178.9802399,28316000
08-05-2020,184.9799957,185,183.3600006,184.6799927,180.0330353,30877800
11-05-2020,183.1499939,187.5099945,182.8500061,186.7400055,182.0411987,30892700
12-05-2020,186.8000031,187.0399933,182.3000031,182.5099945,177.9176331,32038200
13-05-2020,182.5500031,184.0500031,176.5399933,179.75,175.2270966,44711500
14-05-2020,177.5399933,180.6900024,175.6799927,180.5299988,175.9874725,41873900
15-05-2020,179.0599976,187.0599976,177,183.1600037,178.5513153,46610400
18-05-2020,185.75,186.1999969,183.9600067,184.9100037,180.2572632,35264500
19-05-2020,185.0299988,186.6000061,183.4900055,183.6300049,179.0094604,26799100
20-05-2020,184.8099976,185.8500061,183.9400024,185.6600037,181.4924622,31261300
21-05-2020,185.3999939,186.6699982,183.2899933,183.4299927,179.3125305,29119500
22-05-2020,183.1900024,184.4600067,182.5399933,183.5099945,179.3907166,20826900
26-05-2020,186.3399963,186.5,181.1000061,181.5700073,177.4942627,36073600
27-05-2020,180.1999969,181.9900055,176.6000061,181.8099976,177.7288818,39517100
28-05-2020,180.7400055,184.1499939,180.3800049,181.3999939,177.3280945,33810200
29-05-2020,182.7299957,184.2700043,180.4100037,183.25,179.1365662,42130400
01-06-2020,182.5399933,183,181.4600067,182.8300018,178.7260132,22622400
02-06-2020,184.25,185,181.3500061,184.9100037,180.7593079,30794600
03-06-2020,184.8200073,185.9400024,183.5800018,185.3600006,181.1991882,27311000
04-06-2020,184.3000031,185.8399963,182.3000031,182.9199982,178.8139801,28761800
05-06-2020,182.6199951,187.7299957,182.0099945,187.1999969,182.997879,39893600
08-06-2020,185.9400024,188.5500031,184.4400024,188.3600006,184.1318359,33211600
09-06-2020,188,190.6999969,187.2599945,189.8000031,185.5395355,29783900
